,RecordId,PortfolioId,Ticker,BuyDate,BuyValue,Number of Shares,Currency,Months Owned,AdvisorId
0,0ece1053-7bf4-47a3-8ef2-2acaa02c52c2,8aac35c3-852e-4447-8afa-0f6735f28e63,PSCF,2014-10-15,160,8,JPY,98.03333333333333,364c8515-bb9d-40e4-9357-b34cda846c30
1,e8fc2545-af14-43b6-8d4b-06a5f901f33b,1ef9bbc7-5627-4a2c-aa0c-d084c60f5e83,HSC,2022-08-30,176,8,USD,3.533333333333333,75101029-5b33-4ffe-a0ea-f2e5319d9ec1
2,12dc4344-028e-43c0-8bc4-fa212843ec67,ddf56b23-d87f-49c8-9eae-9f563ce1daa3,ALSN,2020-01-09,263,13,JPY,35.233333333333334,6fce3ee4-747a-4d12-8e45-df5e8204af1f
3,3b28dcd0-10de-46c8-8016-041f626735b3,4670fe99-0a06-4bb4-9b90-a4ee4256f185,RESD,2018-08-30,162,8,JPY,51.53333333333333,87c4c34c-7260-4b1d-8e4b-8d4fc237a88a
4,0a76518e-29a8-4e9d-8d8b-29a8c3241f3a,322d4344-b8ab-4562-a496-b5f15f3ecbdd,FLR,2015-08-08,138,6,EUR,88.26666666666667,3da29548-286e-42ce-90cf-ecad9a39d2d6
5,8ab1c2a0-7cd7-45fa-a1ab-d1d54c447153,91d3e53a-a904-4ad3-ade3-ed3eb0cc88fe,MPB,2016-03-17,250,12,JPY,80.96666666666667,e95920cf-600e-4c3f-9d27-4e805a9cffe4
6,cf81eaf9-0cfd-4bf1-92c7-76b86e3e51a9,942a5e0e-fedb-43dc-a806-4b9ad7e7840e,PWFL,2020-01-14,141,7,USD,35.06666666666667,60a05238-c7b9-460f-9b90-dbfec21e883a
7,9233e6ef-e22b-47c2-9b81-a14578f7927f,a190f47a-75d5-4996-a9ac-37b73cbcc2cc,FGM,2016-01-05,146,7,USD,83.36666666666666,a37c5e6d-0dac-4a45-9c70-9a2e3dac3538
8,4fc1d23e-d2b5-4ef4-9989-2bbf39cc4931,90d65d35-8cb2-4902-86c2-ddb7a1726db1,AMNB,2016-02-17,249,12,JPY,81.96666666666667,cf4ba208-de43-468a-8527-0f6b431a6685
9,a545f9b3-8da8-4eee-9aa9-b245229f82fb,15a299aa-b94c-4df0-b032-4c65ddf76596,STML,2018-07-31,241,12,JPY,52.53333333333333,09a01983-7649-4148-b539-436a96362c7c
10,4817c51c-ad6a-43be-8dc8-eca2f9993177,7d709dad-8672-4a28-b5f3-b2b6359e26a8,AEGN,2019-05-07,205,10,EUR,43.3,9d81d495-0fac-4525-8f6e-10bb02ef3429
11,143eea18-9088-450b-87fa-6beb9effe89e,b1608f87-9e62-4450-8153-f6e7905a1859,UJB,2013-01-26,234,11,JPY,118.66666666666667,00649b6c-2d79-4df3-8597-b811723eac30
12,74076187-e047-4d04-8928-adeb96702ca1,fd2a5020-8cca-4c98-a253-64ddc495cb19,LOMA,2021-03-31,151,7,JPY,20.533333333333335,ff530b92-ca9d-4db0-a26f-f55229ee4310
13,d6acd539-a481-4e32-a2bd-065b507e2839,87b642da-7e7b-4b2d-aef7-80f142cc8122,SPYX,2022-05-25,192,9,EUR,6.7,33bd718c-e246-47ad-ac38-2c90419df7fa
14,87be51eb-8c9d-41da-a93f-cd09ab2c5b9d,2571eb51-272c-4783-8f10-38f8eabf0c30,DTF,2021-02-22,241,12,EUR,21.8,9c2bc2f4-23c2-4bc9-97a1-663b1bde4a55
15,ec0d61f7-bd4b-4aeb-9dc8-6b48a5793ac1,13713dae-c5da-4df2-8960-aa4edecb0442,ICD,2018-08-05,175,8,EUR,52.36666666666667,7dc77119-3a4a-4935-ba1d-16e26eb4573b
16,b4cc5a09-7a8a-4053-9a83-4aa1385990a8,ad27e23e-2883-4965-b3c6-83e38209ea85,IPAC,2020-04-03,197,9,EUR,32.43333333333333,245f6a86-8038-4123-b038-c5bed1cccdd2
17,30e4c48a-43eb-4b9e-b1a6-327ca64059a1,f26ea102-795c-435d-b9a9-350964f5c6b7,SFBC,2016-05-25,115,5,EUR,78.7,5c2729dd-9eb5-4e31-a231-a34e7c9c2896
18,45f41d8b-b8a2-404e-944f-00e0ab9204e9,4c71c64f-3fd9-4914-a3aa-f5289778a129,LZB,2015-12-26,262,13,JPY,83.66666666666667,00283579-8bd3-4c48-8788-2f066719c7e4
19,b8e49fb2-79d8-42c6-9845-679c01d5c45a,d5023506-eb69-4805-bcc3-50be59aee477,SMMT,2018-10-07,248,12,JPY,50.3,d1dbf15c-9098-49a5-9327-324e5a9ea532
20,f729f66c-f037-4f39-9efa-551de4475efe,ea27d19b-2df8-4c24-b044-d6885ea5969a,DIVO,2020-02-20,162,8,JPY,33.86666666666667,360b20a5-e1db-435d-a067-7562ed6b196c
21,d3fb2b6f-c937-40e0-8606-debf33242c30,75000195-0bcf-411f-bb12-c484c6aa8ce1,SNLN,2019-07-29,258,12,USD,40.56666666666667,14566a42-380b-442c-a53f-2ad9b568d49f
22,75fa072d-ab3b-4b84-a8f1-b88bd9d9f29a,b77ca766-96b4-40ac-ad32-bc3179a6dfe8,WF,2019-05-24,112,5,JPY,42.733333333333334,2635b07f-aed4-4afc-8db7-3ae797fd9ff5
23,59b2e320-e038-45ee-912c-8bd4d5023914,e39f810b-5314-49ff-958f-c3e8513f9aa6,FLCO,2014-02-27,175,8,USD,105.63333333333334,79639ed1-fb8f-42cf-ab41-69300de312ea
24,241ff9ac-954e-4e1e-9a98-f14605374893,ee4e658c-929a-494e-81f5-54c76938b387,KNSA,2018-03-10,231,11,EUR,57.2,8bd90793-de02-44cd-8ea9-884cda90873a
25,207e3a5a-b21a-44e6-a376-09d5eeba0e66,b83d8b29-6178-4d84-ae62-3c2db8244940,CLDT,2017-06-13,287,14,JPY,66.1,72a269a2-36e0-4ac7-ac70-5c2af4c4117f
26,6d7fc56f-eb9f-481a-8a6d-32f5d4387031,ffd49424-2ed0-45cc-b7f4-4f1b830a8385,STFC,2018-02-22,199,9,USD,57.8,faf9a367-e2df-48a7-b0e3-eae3ff4431b8
27,e9fd43bf-4ef0-4e21-a0ce-e8f5b2340b7a,443966cf-d0a7-4950-adec-f570418c20fe,NICE,2016-08-13,294,14,JPY,76.1,3cf81bc1-eafa-4430-95a1-3b9510c9f485
28,5d8c1e33-68f7-4c54-b442-68b5869e3a15,5ebed283-6bb0-40bb-b352-a8d48017e1fc,VPU,2017-10-15,126,6,USD,62.03333333333333,3d743b40-d72a-43e8-a89f-dd7aa7e02ed3
29,de545283-028c-46b3-a488-1b4bf3afb259,ebc68537-5a25-40da-bc4c-a0028a3359ed,AUTL,2019-08-13,286,14,EUR,40.1,b85520b1-6c14-428b-b8b5-7dd672468be5
30,0528ea32-dfa4-455b-907f-bf0816aa3254,1a68de0d-8055-47fc-84f2-dcb94acd348e,SCKT,2018-10-16,165,8,JPY,50.0,6925b855-65a2-4a82-847b-1fa5cc8eb747
31,8c4310ae-176a-42ae-ae44-225712db91fe,ff5d0115-a01d-42f4-9cd0-b808b2d70530,IDXX,2013-11-06,181,9,EUR,109.33333333333333,cbc4153f-ac6b-4307-89ad-17934d3094f3
32,b4bc9e26-5793-426b-bdb2-a18681c3acc4,c5d7addf-d0c4-433d-a187-726ac1f0aba5,PLUS,2013-04-26,124,6,USD,115.66666666666667,03bd3dcb-a94a-4e15-ad16-5d3240dbf15a
33,56e34fe6-6c1a-439b-a405-a9dad02881f2,ae303c3c-a246-41f1-b40d-87d469815fce,VFMV,2013-06-28,210,10,JPY,113.6,eae349bb-6cdc-41c7-982e-6f917b43833d
34,10dbd063-fa12-482e-8f65-0c9a459b6c82,5c8f901a-2321-4d14-8f7c-2328ea0c15a0,TTTN,2020-11-19,125,6,EUR,24.9,1cf2888a-7e0c-4191-95ca-42c2d4eee91e
35,0f995f1d-5a98-466b-9b5e-55f9266b4bc5,c40d27d6-7a41-4b4f-9df2-8d1368511cf5,SKYS,2013-06-20,298,14,EUR,113.86666666666666,1dd7f21e-8467-4a53-9642-8f5b41b2b290
36,5e9d9663-7acc-44c3-82ac-5b8791625852,93bb2bd4-11f4-4a44-8d94-98b53924575c,KDP,2018-07-11,271,13,USD,53.166666666666664,6ff17541-b407-4949-a7d1-86bae8cfc619
37,90ca83e7-cbd9-4962-98ed-1aa80a57b4b0,cfb735b0-4b2d-477a-aea8-9fd7e7314fc4,AXTA,2016-01-06,296,14,JPY,83.33333333333333,7ae58318-5bfa-47cd-9b85-30e92afeaff8
38,6b218dcc-5265-4932-89a1-14e51eb185c3,3defc3b2-f7d9-4cb1-a943-a465d2ad1ccb,GDAT,2016-02-27,270,13,USD,81.63333333333334,b1df50fc-bef4-4630-a118-74e300665a4f
39,046a9258-6277-4172-a934-ae92529286b5,cffae2ea-c464-4043-982c-5aff3a1ea527,JKG,2016-09-22,242,12,JPY,74.8,0cc4ea1b-3383-4a8e-a5fd-2871fb05e956
40,9c450a28-4a00-410d-ab8f-a83bd15e6aa5,6899b8f9-30d7-49d6-952a-a907c0fa94c1,PGR,2018-12-31,283,14,USD,47.53333333333333,d8819045-02db-4a4b-9889-822592a6ac93
41,730befbc-1bf0-47ad-ae9f-bae40a32f26e,53815f5c-b374-43a7-a22f-10da29d0dfce,GES,2018-02-18,244,12,USD,57.93333333333333,3a293f5f-72e7-46c8-8a42-1f863aec2038
42,9cdfd719-fa8e-44a2-b044-fd8e359dd9f3,519a697b-ffc4-4d0d-a564-e268cf34e948,GVIP,2013-03-01,248,12,JPY,117.5,2abc1a0a-6420-4dca-a74f-b1c873034bc5
43,c301a229-0c2f-4c07-a544-12d580b59260,fe9bd0d8-4a12-4ede-9691-e23dae262e20,FXR,2016-03-22,219,10,EUR,80.8,818a9ddc-700b-42d2-aa5f-a7aff9c12552
44,30f7b446-1ed7-42d0-8d5f-eeab8cd77a95,5a5165d1-c031-4a4b-b94a-0e7157958f98,GRU,2020-03-28,119,5,USD,32.6,ff39c712-1b6e-4118-8b4b-ee2bdf3add0b
45,6fe389b4-7624-4866-83d4-d9ae44ecebc9,eecd4811-0087-422f-a861-ab716af06d51,FCO,2015-06-25,226,11,EUR,89.7,6319d74f-c8d0-4c89-9484-a0fafff9f52c
46,96d63a9c-90d0-4dd1-9051-096a83bee7d5,ff5d0115-a01d-42f4-9cd0-b808b2d70530,WIRE,2015-10-29,116,5,JPY,85.56666666666666,0d8bf88c-4875-4f91-9618-e0874aa208d6
47,2b9e6a3a-b3eb-4a67-8201-fb2d9b5a94e3,a266d279-c352-412f-b7d0-c8ea55f6dc5e,CINF,2018-10-07,143,7,USD,50.3,e274d563-7da8-4703-9859-359576dea0a4
48,d5494d4a-07f7-4b09-8a89-fbf786b667f7,c8e31962-7172-48d2-8ff2-7dec2e485059,GOODN,2013-09-11,165,8,JPY,111.16666666666667,7818b53a-4b2b-43f3-b0b8-63c7f420cfd9
49,64206212-1cb5-4251-a0d7-9af817969aaa,10fbe3fe-cf42-4db9-91c6-004377fd20b1,TRNE,2019-01-17,165,8,EUR,46.96666666666667,f4d7c584-17b5-474e-89c5-25a4a8d68961
50,4d85cc0a-38a7-46a6-a829-47963c747c1a,b3e7e65e-9c88-4fc9-b9a5-b25fe5d4113c,PHYL,2020-10-16,148,7,EUR,26.0,743bbc4d-961d-4674-b706-8a2af60b927a
51,15f3e7b3-ee9b-4e1a-8876-765c3065ec7e,db64c526-36c2-45c9-a0d0-ecbee4a5b0bd,WTRH,2018-05-27,219,10,EUR,54.63333333333333,a6c43231-2580-427b-9fb0-21cc300d19a3
52,59e0e48e-0652-4904-86ba-7a7554ce4bd5,552c8067-331f-4efe-9a5e-fa86b528fab5,OPCH,2022-02-22,197,9,EUR,9.8,66359400-4c37-4e4f-82a9-c0c6f63295d2
53,71d7bc1b-22f1-40e1-b7bf-65cadc8d8820,494aba96-41a4-4db3-bff6-4fce4651df7f,MUR,2016-03-05,136,6,JPY,81.36666666666666,11ccae88-eaa1-4c37-9b5d-70facffca2c8
54,ba99c543-ecf9-4e03-b047-ed6b30861298,4e9a1a7b-9232-4510-a82d-ebf92db2ae33,ALRS,2018-03-04,105,5,USD,57.4,7cc69839-bf23-4e25-a161-9cb29a97a240
55,2bddaf06-4237-4032-a4c3-5ec535926f0d,fb206d3b-e474-4931-bc37-aabf86df7e1d,ONCT,2019-05-16,245,12,USD,43.0,cb404309-343f-4117-b3f2-f00b7919786f
56,dc7f3d6f-1a84-4ef2-a585-e006aa5ae351,5d12d10f-e2db-4a18-8c3e-b7e8a2241fc3,FDBC,2021-11-25,258,12,EUR,12.7,3acde6f2-a4ff-4025-9443-0900a4196496
